location,date,variant,num_sequences,perc_sequences,num_sequences_total
Argentina,2020-09-28,B.1.221,,,41
Argentina,2020-09-28,B.1.1.302,,,41
Argentina,2020-09-28,B.1.1.277,,,41
Argentina,2020-09-28,B.1.1.519,0,0.0,41
Argentina,2020-09-28,B.1.367,,,41
Argentina,2020-09-28,B.1.177,,,41
Argentina,2020-09-28,Beta,0,0.0,41
Argentina,2020-09-28,Alpha,0,0.0,41
Argentina,2020-09-28,Gamma,0,0.0,41
Argentina,2020-09-28,Delta,0,0.0,41
Argentina,2020-09-28,Kappa,,,41
Argentina,2020-09-28,Epsilon,0,0.0,41
Argentina,2020-09-28,Eta,0,0.0,41
Argentina,2020-09-28,Iota,0,0.0,41
Argentina,2020-09-28,Lambda,0,0.0,41
Argentina,2020-09-28,B.1.621,,,41
Argentina,2020-09-28,S:677P.Pelican,,,41
Argentina,2020-09-28,S:677H.Robin1,,,41
Argentina,2020-09-28,others,41,100.0,41
Argentina,2020-09-28,non_who,41,100.0,41
Argentina,2020-10-26,B.1.160,,,89
Argentina,2020-10-26,B.1.620,,,89
Argentina,2020-10-26,B.1.258,,,89
Argentina,2020-10-26,B.1.221,,,89
Argentina,2020-10-26,B.1.1.302,,,89
Argentina,2020-10-26,B.1.1.277,,,89
Argentina,2020-10-26,B.1.1.519,0,0.0,89
Argentina,2020-10-26,B.1.367,,,89
Argentina,2020-10-26,B.1.177,,,89
Argentina,2020-10-26,Beta,0,0.0,89
Argentina,2020-10-26,Alpha,0,0.0,89
Argentina,2020-10-26,Gamma,0,0.0,89
Argentina,2020-10-26,Delta,0,0.0,89
Argentina,2020-10-26,Kappa,,,89
Argentina,2020-10-26,Epsilon,0,0.0,89
Argentina,2020-10-26,Eta,0,0.0,89
Argentina,2020-10-26,Iota,0,0.0,89
Argentina,2020-10-26,Lambda,0,0.0,89
Argentina,2020-10-26,B.1.621,,,89
Argentina,2020-10-26,S:677P.Pelican,,,89
Argentina,2020-10-26,S:677H.Robin1,,,89
Argentina,2020-10-26,others,89,100.0,89
Argentina,2020-10-26,non_who,89,100.0,89
Argentina,2020-11-09,B.1.160,,,40
Argentina,2020-11-09,B.1.620,,,40
Argentina,2020-11-09,B.1.258,,,40
Argentina,2020-11-09,B.1.221,,,40
Argentina,2020-11-09,B.1.1.302,,,40
Argentina,2020-11-09,B.1.1.277,,,40
Argentina,2020-11-09,B.1.1.519,1,2.5,40
Argentina,2020-11-09,B.1.367,,,40
Argentina,2020-11-09,B.1.177,,,40
Argentina,2020-11-09,Beta,0,0.0,40
Argentina,2020-11-09,Alpha,0,0.0,40
Argentina,2020-11-09,Gamma,0,0.0,40
Argentina,2020-11-09,Delta,0,0.0,40
Argentina,2020-11-09,Kappa,,,40
Argentina,2020-11-09,Epsilon,0,0.0,40
Argentina,2020-11-09,Eta,0,0.0,40
Argentina,2020-11-09,Iota,0,0.0,40
Argentina,2020-11-09,Lambda,1,2.5,40
Argentina,2020-11-09,B.1.621,,,40
Argentina,2020-11-09,S:677P.Pelican,,,40
Argentina,2020-11-09,S:677H.Robin1,,,40
Argentina,2020-11-09,others,38,95.0,40
Argentina,2020-11-09,non_who,39,97.5,40
Argentina,2020-11-23,B.1.160,,,48
Argentina,2020-11-23,B.1.620,,,48
Argentina,2020-11-23,B.1.258,,,48
Argentina,2020-11-23,B.1.221,,,48
Argentina,2020-11-23,B.1.1.302,,,48
Argentina,2020-11-23,B.1.1.277,,,48
Argentina,2020-11-23,B.1.1.519,3,6.25,48
Argentina,2020-11-23,B.1.367,,,48
Argentina,2020-11-23,B.1.177,,,48
Argentina,2020-11-23,Beta,0,0.0,48
Argentina,2020-11-23,Alpha,0,0.0,48
Argentina,2020-11-23,Gamma,0,0.0,48
Argentina,2020-11-23,Delta,0,0.0,48
Argentina,2020-11-23,Kappa,,,48
Argentina,2020-11-23,Epsilon,0,0.0,48
Argentina,2020-11-23,Eta,0,0.0,48
Argentina,2020-11-23,Iota,0,0.0,48
Argentina,2020-11-23,Lambda,0,0.0,48
Argentina,2020-11-23,B.1.621,,,48
Argentina,2020-11-23,S:677P.Pelican,,,48
Argentina,2020-11-23,S:677H.Robin1,,,48
Argentina,2020-11-23,others,45,93.75,48
Argentina,2020-11-23,non_who,48,100.0,48
Argentina,2020-12-07,B.1.160,,,34
Argentina,2020-12-07,B.1.620,,,34
Argentina,2020-12-07,B.1.258,,,34
Argentina,2020-12-07,B.1.221,,,34
Argentina,2020-12-07,B.1.1.302,,,34
Argentina,2020-12-07,B.1.1.277,,,34
Argentina,2020-12-07,B.1.1.519,0,0.0,34
Argentina,2020-12-07,B.1.367,,,34
Argentina,2020-12-07,B.1.177,,,34
Argentina,2020-12-07,Beta,0,0.0,34
Argentina,2020-12-07,Alpha,0,0.0,34
Argentina,2020-12-07,Gamma,0,0.0,34
Argentina,2020-12-07,Delta,0,0.0,34
