date,age_group_min,age_group_max,total_vaccinations,location
2021-04-01,41,50,1223870.0,Chile
2021-04-01,61,70,2670146.0,Chile
2021-04-01,51,60,1957423.0,Chile
2021-04-01,71,72,419829.0,Chile
2021-04-01,75,77,487009.0,Chile
2021-04-01,78,79,268226.0,Chile
2021-04-01,15,20,127374.0,Chile
2021-04-02,78,79,268303.0,Chile
2021-04-02,31,40,1306881.0,Chile
2021-04-02,80,,907199.0,Chile
2021-04-02,75,77,487138.0,Chile
2021-04-02,51,60,1965347.0,Chile
2021-04-02,41,50,1225364.0,Chile
2021-04-02,21,30,1018630.0,Chile
2021-04-02,71,72,419955.0,Chile
2021-04-02,73,74,379331.0,Chile
2021-04-02,61,70,2674867.0,Chile
2021-04-02,15,20,127749.0,Chile
2021-04-03,73,74,379348.0,Chile
2021-04-03,75,77,487166.0,Chile
2021-04-03,31,40,1307460.0,Chile
2021-04-03,21,30,1019260.0,Chile
2021-04-03,61,70,2675568.0,Chile
2021-04-03,41,50,1225904.0,Chile
2021-04-03,15,20,127916.0,Chile
2021-04-03,80,,907243.0,Chile
2021-04-03,51,60,1966785.0,Chile
2021-04-03,78,79,268312.0,Chile
2021-04-03,71,72,419979.0,Chile
2021-04-04,61,70,2675883.0,Chile
2021-04-04,51,60,1967521.0,Chile
2021-04-04,31,40,1307778.0,Chile
2021-04-04,71,72,419988.0,Chile
2021-04-04,78,79,268319.0,Chile
2021-04-04,15,20,127968.0,Chile
2021-04-04,73,74,379360.0,Chile
2021-04-04,80,,907275.0,Chile
2021-04-04,75,77,487181.0,Chile
2021-04-04,41,50,1226209.0,Chile
2021-04-04,21,30,1019560.0,Chile
2021-04-05,80,,910562.0,Chile
2021-04-05,31,40,1329976.0,Chile
2021-04-05,78,79,269265.0,Chile
2021-04-05,15,20,131217.0,Chile
2021-04-05,61,70,2724435.0,Chile
2021-04-05,21,30,1041902.0,Chile
2021-04-05,75,77,488829.0,Chile
2021-04-05,41,50,1248203.0,Chile
2021-04-05,71,72,421597.0,Chile
2021-04-05,51,60,2113429.0,Chile
2021-04-05,73,74,380815.0,Chile
2021-04-06,21,30,1059619.0,Chile
2021-04-06,80,,913375.0,Chile
2021-04-06,31,40,1349323.0,Chile
2021-04-06,78,79,269967.0,Chile
2021-04-06,71,72,422766.0,Chile
2021-04-06,41,50,1272055.0,Chile
2021-04-06,75,77,490155.0,Chile
2021-04-06,73,74,381865.0,Chile
2021-04-06,61,70,2750770.0,Chile
2021-04-06,51,60,2259318.0,Chile
2021-04-06,15,20,134461.0,Chile
2021-04-07,15,20,135304.0,Chile
2021-04-07,75,77,490662.0,Chile
2021-04-07,78,79,270246.0,Chile
2021-04-07,31,40,1354962.0,Chile
2021-04-07,73,74,382238.0,Chile
2021-04-07,71,72,423263.0,Chile
2021-04-07,61,70,2759476.0,Chile
2021-04-07,41,50,1292109.0,Chile
2021-04-07,80,,914253.0,Chile
2021-04-07,51,60,2309110.0,Chile
2021-04-07,21,30,1064449.0,Chile
2021-04-08,71,72,423263.0,Chile
2021-04-08,15,20,135304.0,Chile
2021-04-08,75,77,490662.0,Chile
2021-04-08,80,,914253.0,Chile
2021-04-08,41,50,1292109.0,Chile
2021-04-08,21,30,1064449.0,Chile
2021-04-08,78,79,270246.0,Chile
2021-04-08,51,60,2309110.0,Chile
2021-04-08,61,70,2759476.0,Chile
2021-04-08,73,74,382238.0,Chile
2021-04-08,31,40,1354962.0,Chile
2021-04-09,21,30,1092429.0,Chile
2021-04-09,78,79,271372.0,Chile
2021-04-09,71,72,425147.0,Chile
2021-04-09,51,60,2505974.0,Chile
2021-04-09,31,40,1385692.0,Chile
2021-04-09,80,,918373.0,Chile
2021-04-09,61,70,2788437.0,Chile
2021-04-09,41,50,1373403.0,Chile
2021-04-09,73,74,383829.0,Chile
2021-04-09,75,77,492784.0,Chile
2021-04-09,15,20,140835.0,Chile
2021-04-10,41,50,1451190.0,Chile
2021-04-10,71,72,426251.0,Chile
2021-04-10,75,77,493933.0,Chile
2021-04-10,21,30,1108625.0,Chile
2021-04-10,15,20,144287.0,Chile
2021-04-10,78,79,272060.0,Chile
2021-04-10,51,60,2586870.0,Chile
2021-04-10,61,70,2804988.0,Chile
2021-04-10,31,40,1404050.0,Chile
2021-04-10,73,74,384788.0,Chile
2021-04-10,80,,920866.0,Chile
2021-04-11,75,77,494109.0,Chile
2021-04-11,73,74,384940.0,Chile
2021-04-11,41,50,1459513.0,Chile
2021-04-11,80,,921344.0,Chile
2021-04-11,61,70,2808147.0,Chile
2021-04-11,31,40,1407221.0,Chile
2021-04-11,15,20,145005.0,Chile
2021-04-11,71,72,426416.0,Chile
2021-04-11,21,30,1111425.0,Chile
2021-04-11,51,60,2601311.0,Chile
2021-04-11,78,79,272164.0,Chile
2021-04-12,21,30,1111766.0,Chile
2021-04-12,73,74,384964.0,Chile
2021-04-12,71,72,426449.0,Chile
2021-04-12,51,60,2602843.0,Chile
2021-04-12,80,,921409.0,Chile
2021-04-12,61,70,2808487.0,Chile
2021-04-12,15,20,145105.0,Chile
2021-04-12,31,40,1407664.0,Chile
2021-04-12,41,50,1460522.0,Chile
2021-04-12,75,77,494137.0,Chile
2021-04-12,78,79,272178.0,Chile
2021-04-13,61,70,2823178.0,Chile
2021-04-13,75,77,495158.0,Chile
2021-04-13,21,30,1127734.0,Chile
2021-04-13,73,74,385897.0,Chile
2021-04-13,78,79,272814.0,Chile
2021-04-13,31,40,1429629.0,Chile
2021-04-13,80,,923281.0,Chile
2021-04-13,71,72,427470.0,Chile
2021-04-13,15,20,148345.0,Chile
2021-04-13,41,50,1564612.0,Chile
2021-04-13,51,60,2661730.0,Chile
2021-04-14,78,79,273369.0,Chile
2021-04-14,51,60,2713925.0,Chile
2021-04-14,31,40,1487285.0,Chile
2021-04-14,80,,925089.0,Chile
2021-04-14,15,20,152829.0,Chile
2021-04-14,61,70,2836792.0,Chile
2021-04-14,71,72,428381.0,Chile
2021-04-14,73,74,386698.0,Chile
2021-04-14,41,50,1648408.0,Chile
2021-04-14,75,77,496220.0,Chile
2021-04-14,21,30,1147997.0,Chile
2021-04-15,61,70,2848909.0,Chile
2021-04-15,73,74,387462.0,Chile
2021-04-15,31,40,1547785.0,Chile
2021-04-15,78,79,273936.0,Chile
2021-04-15,21,30,1174264.0,Chile
2021-04-15,15,20,157279.0,Chile
2021-04-15,71,72,429280.0,Chile
2021-04-15,51,60,2756644.0,Chile
2021-04-15,80,,926832.0,Chile
2021-04-15,41,50,1727417.0,Chile
2021-04-15,75,77,497151.0,Chile
2021-04-16,15,20,163059.0,Chile
2021-04-16,31,40,1584629.0,Chile
2021-04-16,73,74,388228.0,Chile
2021-04-16,71,72,430121.0,Chile
2021-04-16,51,60,2793752.0,Chile
2021-04-16,61,70,2859761.0,Chile
2021-04-16,78,79,274415.0,Chile
2021-04-16,75,77,497993.0,Chile
2021-04-16,41,50,1785364.0,Chile
2021-04-16,21,30,1228370.0,Chile
2021-04-16,80,,928590.0,Chile
2021-04-17,78,79,274415.0,Chile
2021-04-17,73,74,388228.0,Chile
2021-04-17,31,40,1584629.0,Chile
2021-04-17,80,,928590.0,Chile
2021-04-17,15,20,163059.0,Chile
2021-04-17,75,77,497993.0,Chile
2021-04-17,41,50,1785364.0,Chile
2021-04-17,71,72,430121.0,Chile
2021-04-17,61,70,2859761.0,Chile
2021-04-17,51,60,2793752.0,Chile
2021-04-17,21,30,1228370.0,Chile
2021-04-18,15,20,186045.0,Chile
2021-04-18,51,60,2839660.0,Chile
2021-04-18,31,40,1624080.0,Chile
2021-04-18,61,70,2872685.0,Chile
2021-04-18,75,77,498950.0,Chile
2021-04-18,73,74,389062.0,Chile
2021-04-18,41,50,1844744.0,Chile
2021-04-18,80,,930477.0,Chile
2021-04-18,78,79,274951.0,Chile
2021-04-18,21,30,1268426.0,Chile
2021-04-18,71,72,431126.0,Chile
2021-04-19,15,20,186234.0,Chile
2021-04-19,51,60,2840443.0,Chile
2021-04-19,78,79,274961.0,Chile
2021-04-19,73,74,389080.0,Chile
2021-04-19,75,77,498972.0,Chile
2021-04-19,21,30,1269117.0,Chile
2021-04-19,61,70,2872961.0,Chile
2021-04-19,80,,930518.0,Chile
2021-04-19,71,72,431139.0,Chile
2021-04-19,41,50,1845676.0,Chile
2021-04-19,31,40,1624890.0,Chile
2021-04-20,80,,931895.0,Chile
2021-04-20,61,70,2884491.0,Chile
2021-04-20,75,77,499797.0,Chile
